opportunity_id,outcome,primary_loss_reason,primary_win_reason,loss_reason_detail,decision_process_notes,champion_strength,procurement_friction_flag,competitor_capture_completeness,record_completeness_score
646,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,medium,0.96
647,lost,product_gap,,,,weak,true,low,0.56
648,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,false,medium,0.61
649,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,true,low,0.4
650,won,,Global rollout fit and clear ROI case,,,mixed,true,high,0.88
651,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,high,0.91
652,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,low,0.44
653,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,,low,0.97
654,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,unknown,false,high,0.95
655,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,mixed,false,low,0.47
656,lost,price,,,,strong,false,low,0.41
657,lost,competitor,,,,mixed,false,low,0.29
658,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,medium,0.38
659,lost,no_decision,,,late-stage decision path remained fuzzy,mixed,false,low,0.43
660,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,false,high,0.36
661,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.96
662,lost,competitor,,,late-stage decision path remained fuzzy,strong,false,low,0.46
663,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,high,0.9
664,won,,Better analytics vision for renewal planning,,,strong,,medium,0.96
665,lost,no_decision,,project paused after steering committee could not commit,,mixed,false,low,0.43
666,lost,budget,,,,mixed,false,low,0.53
667,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,high,0.41
668,won,,Incumbent relationship and lower switching risk,,,strong,false,high,0.89
669,won,,Better analytics vision for renewal planning,,,mixed,false,high,0.95
670,lost,timing,,,late-stage decision path remained fuzzy,mixed,false,medium,0.39
671,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,strong,false,low,0.45
672,lost,competitor,,,,mixed,false,low,0.39
673,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,high,0.88
674,lost,,,,,mixed,false,low,0.54
675,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,high,0.52
676,lost,competitor,,incumbent competitor kept the global trade team aligned,,unknown,false,high,0.56
677,lost,,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,mixed,false,low,0.49
678,won,,Incumbent relationship and lower switching risk,,,strong,,high,0.93
679,won,,Better analytics vision for renewal planning,,,strong,,medium,0.89
680,won,,Global rollout fit and clear ROI case,,,mixed,false,high,0.92
681,lost,no_decision,,project paused after steering committee could not commit,,weak,true,low,0.47
682,lost,price,,pricing came in above internal threshold after procurement review,,weak,true,low,0.52
683,won,,Incumbent relationship and lower switching risk,,,mixed,,high,0.96
684,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.95
685,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.89
686,lost,timing,,timeline slipped and rollout moved into next planning cycle,,strong,false,high,0.53
687,won,,Executive alignment and stronger services plan,,,strong,,high,0.89
688,lost,price,,pricing came in above internal threshold after procurement review,,strong,false,low,0.39
689,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,high,0.4
690,lost,,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,mixed,true,medium,0.42
691,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,unknown,true,low,0.5
692,lost,weak_champion_internal_politics,,,,mixed,false,low,0.61
693,lost,price,,,,mixed,false,low,0.48
694,lost,,,pricing came in above internal threshold after procurement review,,mixed,true,low,0.36
695,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,high,0.48
696,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,true,low,0.52
697,won,,Executive alignment and stronger services plan,,,mixed,,medium,0.91
698,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,true,medium,0.42
699,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,unknown,,high,0.88
700,won,,Global rollout fit and clear ROI case,,,strong,,high,0.88
701,lost,price,,,,weak,false,medium,0.42
702,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,high,0.95
703,won,,Incumbent relationship and lower switching risk,,,strong,,high,0.87
704,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,false,high,0.95
705,lost,price,,,,unknown,false,medium,0.59
706,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,medium,0.88
707,won,,Executive alignment and stronger services plan,,,strong,,high,0.92
708,lost,competitor,,incumbent competitor kept the global trade team aligned,,mixed,false,low,0.53
709,lost,budget,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,mixed,false,low,0.52
710,lost,,,,,weak,false,low,0.53
711,lost,timing,,timeline slipped and rollout moved into next planning cycle,,unknown,false,high,0.42
712,won,,Executive alignment and stronger services plan,,,mixed,,high,0.87
713,won,,Incumbent relationship and lower switching risk,,,strong,,high,0.95
714,lost,timing,,timeline slipped and rollout moved into next planning cycle,,unknown,false,high,0.56
715,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,mixed,false,low,0.45
716,lost,,,initial sponsor changed roles and support faded,,mixed,false,medium,0.38
717,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,medium,0.95
718,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,weak,false,medium,0.6
719,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,unknown,false,low,0.5
720,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,false,low,0.9
721,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,false,medium,0.87
722,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,medium,0.5
723,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,high,0.48
724,lost,price,,,,weak,false,low,0.49
725,lost,,,timeline slipped and rollout moved into next planning cycle,,weak,false,low,0.37
726,lost,product_gap,,,,weak,false,medium,0.48
727,won,,Executive alignment and stronger services plan,,,strong,,low,0.96
728,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,,high,0.93
729,won,,Better analytics vision for renewal planning,,,strong,,low,0.91
730,lost,,,project paused after steering committee could not commit,,mixed,false,medium,0.35
731,lost,competitor,,,,strong,false,low,0.52
732,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,false,medium,0.89
733,lost,timing,,,,mixed,false,low,0.55
734,lost,competitor,,,,unknown,true,low,0.38
735,lost,product_gap,,,,strong,false,high,0.36
736,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,weak,true,high,0.58
737,won,,Executive alignment and stronger services plan,,,strong,,high,0.95
738,won,,Incumbent relationship and lower switching risk,,,strong,false,low,0.92
739,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,medium,0.59
740,won,,Global rollout fit and clear ROI case,,,unknown,,medium,0.9
741,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,medium,0.41
742,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,false,medium,0.45
743,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,medium,0.48
744,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,unknown,false,medium,0.53
745,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.95
746,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,high,0.92
747,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,false,medium,0.94
748,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.87
749,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,medium,0.95
750,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,,medium,0.91
751,won,,Best workflow match for cross-border operations,,,strong,,medium,0.89
752,lost,competitor,,,,weak,false,medium,0.58
753,lost,competitor,,incumbent competitor kept the global trade team aligned,,unknown,false,high,0.33
754,lost,,,needed deeper compliance edge cases for certain corridors,,strong,true,low,0.45
755,lost,price,,,late-stage decision path remained fuzzy,unknown,true,low,0.4
756,won,,Best workflow match for cross-border operations,,,strong,,medium,0.88
757,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.92
758,lost,price,,,late-stage decision path remained fuzzy,unknown,false,low,0.38
759,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,unknown,true,medium,0.62
760,lost,,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,false,medium,0.37
761,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,low,0.48
762,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,mixed,false,high,0.4
763,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,high,0.39
764,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,false,high,0.89
765,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,false,high,0.93
766,won,,Best workflow match for cross-border operations,,,strong,,high,0.94
767,lost,weak_champion_internal_politics,,,,weak,false,low,0.53
768,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,unknown,false,low,0.59
769,lost,no_decision,,,late-stage decision path remained fuzzy,weak,false,medium,0.49
770,lost,competitor,,incumbent competitor kept the global trade team aligned,,unknown,false,high,0.46
771,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,low,0.38
772,won,,Executive alignment and stronger services plan,,,mixed,,low,0.95
773,lost,,,,,weak,false,low,0.34
774,lost,weak_champion_internal_politics,,,,mixed,false,low,0.3
775,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,false,low,0.61
776,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.91
777,won,,Executive alignment and stronger services plan,,,weak,,medium,0.91
778,lost,no_decision,,project paused after steering committee could not commit,,mixed,false,medium,0.57
779,lost,no_decision,,,,mixed,false,low,0.53
780,lost,,,initial sponsor changed roles and support faded,late-stage decision path remained fuzzy,mixed,false,low,0.47
781,lost,,,timeline slipped and rollout moved into next planning cycle,,strong,false,medium,0.35
782,lost,budget,,,late-stage decision path remained fuzzy,unknown,false,high,0.52
783,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,low,0.54
784,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,unknown,false,high,0.4
785,lost,product_gap,,needed deeper compliance edge cases for certain corridors,late-stage decision path remained fuzzy,strong,false,medium,0.4
786,won,,Best workflow match for cross-border operations,,,strong,,medium,0.94
787,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.89
788,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.89
789,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,high,0.94
790,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.88
791,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,medium,0.91
792,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,false,medium,0.54
793,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.92
794,lost,budget,,,,unknown,false,low,0.44
795,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,low,0.55
796,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,low,0.42
797,lost,,,pricing came in above internal threshold after procurement review,,strong,false,high,0.3
798,won,,Incumbent relationship and lower switching risk,,,strong,false,high,0.89
799,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,mixed,,medium,0.92
800,lost,product_gap,,,late-stage decision path remained fuzzy,mixed,true,medium,0.55
801,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,strong,true,low,0.46
802,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,true,high,0.4
803,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,mixed,false,low,0.39
804,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,medium,0.59
805,lost,budget,,budget shifted to warehouse modernization workstream,,strong,false,low,0.5
806,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,mixed,false,medium,0.58
807,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,strong,false,low,0.53
808,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.93
809,won,,Better analytics vision for renewal planning,,,strong,,high,0.91
810,won,,Global rollout fit and clear ROI case,,,strong,,medium,0.97
811,lost,weak_champion_internal_politics,,,,weak,false,low,0.57
812,lost,no_decision,,,,unknown,false,high,0.42
813,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,mixed,false,medium,0.55
814,lost,product_gap,,,,weak,false,high,0.37
815,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.9
816,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,low,0.93
817,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.91
818,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,,medium,0.96
819,lost,timing,,,late-stage decision path remained fuzzy,mixed,false,medium,0.54
820,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,false,medium,0.94
821,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,unknown,,high,0.91
822,lost,budget,,,late-stage decision path remained fuzzy,weak,false,low,0.52
823,lost,competitor,,,late-stage decision path remained fuzzy,unknown,false,low,0.51
824,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,low,0.5
825,lost,weak_champion_internal_politics,,,,weak,false,low,0.44
826,lost,,,,late-stage decision path remained fuzzy,weak,false,medium,0.5
827,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,false,medium,0.93
828,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,high,0.5
829,lost,,,,late-stage decision path remained fuzzy,mixed,false,high,0.36
830,won,,Global rollout fit and clear ROI case,,,mixed,,high,0.89
831,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,weak,false,low,0.59
832,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,false,medium,0.93
833,won,,Incumbent relationship and lower switching risk,,,strong,,high,0.91
834,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,low,0.95
835,lost,price,,pricing came in above internal threshold after procurement review,,strong,false,high,0.58
836,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,medium,0.87
837,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,high,0.91
838,lost,,,needed deeper compliance edge cases for certain corridors,,mixed,true,low,0.45
839,won,,Better analytics vision for renewal planning,,,weak,,high,0.91
840,lost,,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,unknown,true,high,0.33
841,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,weak,false,high,0.96
842,lost,budget,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,weak,false,low,0.49
843,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,medium,0.88
844,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,mixed,true,low,0.34
845,lost,price,,,late-stage decision path remained fuzzy,unknown,false,medium,0.57
846,lost,competitor,,,,strong,false,low,0.52
847,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,medium,0.59
848,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,false,high,0.95
849,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.94
850,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,false,high,0.93
851,won,,Best workflow match for cross-border operations,,,mixed,,medium,0.87
852,won,,Executive alignment and stronger services plan,,,strong,false,medium,0.94
853,lost,product_gap,,,late-stage decision path remained fuzzy,mixed,true,high,0.56
854,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,true,low,0.36
855,lost,price,,pricing came in above internal threshold after procurement review,,mixed,true,low,0.45
856,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,high,0.95
857,lost,,,,late-stage decision path remained fuzzy,weak,false,medium,0.52
858,lost,,,initial sponsor changed roles and support faded,,weak,false,medium,0.46
859,lost,,,legal and procurement redlines stalled final approval,,unknown,false,low,0.48
860,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,false,high,0.91
861,lost,price,,pricing came in above internal threshold after procurement review,,unknown,true,medium,0.3
862,won,,Executive alignment and stronger services plan,,,mixed,true,medium,0.94
863,lost,product_gap,,,,unknown,true,medium,0.43
864,lost,price,,,,mixed,false,medium,0.47
865,won,,Global rollout fit and clear ROI case,,,strong,false,high,0.91
866,lost,price,,pricing came in above internal threshold after procurement review,,strong,true,high,0.46
867,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.93
868,lost,procurement_legal_friction,,,late-stage decision path remained fuzzy,mixed,true,high,0.49
869,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,high,0.42
870,lost,no_decision,,,late-stage decision path remained fuzzy,mixed,false,low,0.48
871,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,false,medium,0.88
872,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,false,low,0.93
873,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,,medium,0.93
874,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,low,0.6
875,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,high,0.95
876,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.88
877,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.95
878,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,low,0.38
879,lost,price,,,,weak,false,medium,0.52
880,lost,budget,,budget shifted to warehouse modernization workstream,,weak,false,high,0.36
881,lost,product_gap,,,late-stage decision path remained fuzzy,unknown,false,medium,0.51
882,won,,Executive alignment and stronger services plan,,,mixed,false,medium,0.88
883,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,medium,0.89
884,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,unknown,,high,0.88
885,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,unknown,false,medium,0.48
886,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,low,0.6
887,won,,Executive alignment and stronger services plan,,,strong,,medium,0.97
888,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,unknown,false,low,0.48
889,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,weak,false,low,0.45
890,lost,price,,pricing came in above internal threshold after procurement review,,mixed,false,low,0.55
891,won,,Best workflow match for cross-border operations,,,strong,,high,0.95
892,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,unknown,false,low,0.61
893,lost,,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,weak,false,medium,0.43
894,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,weak,,medium,0.93
895,lost,price,,,late-stage decision path remained fuzzy,strong,false,medium,0.5
896,lost,price,,,late-stage decision path remained fuzzy,unknown,false,medium,0.4
897,lost,price,,pricing came in above internal threshold after procurement review,,weak,false,low,0.61
898,lost,,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,false,high,0.44
899,won,,Better analytics vision for renewal planning,,,mixed,false,high,0.89
900,won,,Global rollout fit and clear ROI case,,,strong,,high,0.95
901,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,mixed,,low,0.89
902,lost,budget,,,,unknown,false,low,0.41
903,lost,no_decision,,,late-stage decision path remained fuzzy,strong,false,medium,0.4
904,won,,Better analytics vision for renewal planning,,,strong,false,high,0.95
905,lost,product_gap,,,,weak,false,medium,0.55
906,lost,no_decision,,,late-stage decision path remained fuzzy,weak,false,low,0.38
907,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.94
908,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,,high,0.89
909,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,unknown,false,medium,0.56
910,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,unknown,false,low,0.47
911,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,medium,0.56
912,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,low,0.56
913,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,unknown,false,medium,0.51
914,lost,,,,late-stage decision path remained fuzzy,mixed,false,high,0.33
915,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,strong,false,medium,0.54
916,won,,Best workflow match for cross-border operations,,,mixed,,high,0.92
917,lost,budget,,budget shifted to warehouse modernization workstream,late-stage decision path remained fuzzy,mixed,true,medium,0.38
918,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,weak,true,high,0.92
919,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,true,high,0.97
920,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,weak,false,low,0.44
921,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.87
922,lost,,,incumbent competitor kept the global trade team aligned,,weak,true,medium,0.27
923,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,mixed,false,low,0.41
924,lost,timing,,timeline slipped and rollout moved into next planning cycle,late-stage decision path remained fuzzy,mixed,false,high,0.5
925,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,low,0.47
926,lost,,,,late-stage decision path remained fuzzy,mixed,true,low,0.47
927,lost,no_decision,,,,strong,false,low,0.39
928,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,mixed,true,medium,0.47
929,lost,procurement_legal_friction,,,,weak,false,medium,0.4
930,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,medium,0.96
931,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.91
932,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,mixed,,medium,0.92
933,lost,procurement_legal_friction,,,,weak,false,high,0.52
934,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.87
935,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,weak,false,medium,0.44
936,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,unknown,false,high,0.6
937,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,false,low,0.93
938,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,mixed,,high,0.94
939,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.94
940,won,,Global rollout fit and clear ROI case,,,mixed,,high,0.94
941,won,,Best workflow match for cross-border operations,,,strong,,medium,0.94
942,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,medium,0.91
943,won,,Incumbent relationship and lower switching risk,,Business case approved with global operations and IT alignment,strong,false,high,0.92
944,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.88
945,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,strong,,medium,0.89
946,lost,timing,,timeline slipped and rollout moved into next planning cycle,,weak,false,medium,0.46
947,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,mixed,false,medium,0.42
948,lost,competitor,,,,mixed,false,low,0.48
949,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,medium,0.44
950,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,weak,false,medium,0.35
951,lost,budget,,,late-stage decision path remained fuzzy,mixed,false,medium,0.47
952,lost,weak_champion_internal_politics,,initial sponsor changed roles and support faded,,mixed,false,high,0.33
953,lost,competitor,,incumbent competitor kept the global trade team aligned,late-stage decision path remained fuzzy,mixed,true,high,0.46
954,lost,competitor,,incumbent competitor kept the global trade team aligned,,mixed,true,low,0.62
955,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,late-stage decision path remained fuzzy,mixed,true,high,0.31
956,lost,price,,pricing came in above internal threshold after procurement review,,unknown,false,low,0.55
957,lost,,,,,weak,false,low,0.5
958,lost,procurement_legal_friction,,legal and procurement redlines stalled final approval,,weak,true,low,0.49
959,lost,no_decision,,,,weak,false,high,0.31
960,lost,competitor,,incumbent competitor kept the global trade team aligned,,weak,false,high,0.6
961,lost,product_gap,,needed deeper compliance edge cases for certain corridors,,strong,false,medium,0.57
962,won,,Executive alignment and stronger services plan,,,strong,,low,0.91
963,lost,competitor,,incumbent competitor kept the global trade team aligned,,unknown,true,low,0.6
964,lost,price,,,late-stage decision path remained fuzzy,weak,true,high,0.58
965,lost,,,project paused after steering committee could not commit,,unknown,false,low,0.47
966,lost,price,,pricing came in above internal threshold after procurement review,late-stage decision path remained fuzzy,weak,false,high,0.51
967,lost,weak_champion_internal_politics,,,,weak,false,high,0.43
968,won,,Incumbent relationship and lower switching risk,,,strong,,high,0.93
969,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,,high,0.89
970,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,,high,0.96
971,won,,Best workflow match for cross-border operations,,,strong,,medium,0.97
972,won,,Executive alignment and stronger services plan,,Business case approved with global operations and IT alignment,strong,,high,0.96
973,lost,timing,,timeline slipped and rollout moved into next planning cycle,,mixed,false,high,0.34
974,won,,Better analytics vision for renewal planning,,Business case approved with global operations and IT alignment,strong,false,high,0.91
975,won,,Global rollout fit and clear ROI case,,,mixed,,medium,0.91
976,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,,high,0.88
977,lost,no_decision,,project paused after steering committee could not commit,late-stage decision path remained fuzzy,mixed,false,medium,0.61
978,lost,budget,,budget shifted to warehouse modernization workstream,,unknown,true,high,0.54
979,lost,price,,pricing came in above internal threshold after procurement review,,mixed,true,high,0.54
980,won,,Global rollout fit and clear ROI case,,Business case approved with global operations and IT alignment,mixed,,high,0.94
981,won,,Best workflow match for cross-border operations,,Business case approved with global operations and IT alignment,strong,false,medium,0.92
982,lost,weak_champion_internal_politics,,,late-stage decision path remained fuzzy,weak,true,low,0.52
983,lost,price,,,,unknown,true,medium,0.59
984,lost,no_decision,,,late-stage decision path remained fuzzy,strong,false,high,0.42
985,lost,competitor,,,,strong,false,high,0.39
986,lost,price,,,,weak,false,low,0.59
